A–H,B·,A·,B–H,TS,ML Barrier (kcal/mol),DFT Barrier (kcal/mol),Difference (kcal/mol)
PRE-A1a,PRE-N1,POST-A1a-H1,POST-N1,,19.81,19.90,-0.09
PRE-A1b,PRE-N1,POST-A1b-H1,POST-N1,,24.25,25.80,-1.55
PRE-A1c,PRE-N1,POST-A1c-H1,POST-N1,,11.73,10.80,0.93
PRE-A1d,PRE-N1,POST-A1d-H1,POST-N1,,25.85,28.10,-2.25
PRE-A1e,PRE-N1,POST-A1e-H1,POST-N1,,15.60,15.00,0.60
PRE-A1f,PRE-N1,POST-A1f-H1,POST-N1,,16.47,16.50,-0.03
PRE-A1h,PRE-N1,POST-A1h-H1,POST-N1,,17.32,18.00,-0.68
PRE-A1i,PRE-N1,POST-A1i-H1,POST-N1,,22.66,23.40,-0.74
PRE-A1j,PRE-N1,POST-A1j-H1,POST-N1,,22.48,23.10,-0.62
PRE-A1k,PRE-N1,POST-A1k-H1,POST-N1,,26.84,28.40,-1.56
PRE-A1l,PRE-N1,POST-A1l-H1,POST-N1,,23.15,24.90,-1.75
PRE-A1m,PRE-N1,POST-A1m-H1,POST-N1,,21.77,22.20,-0.43
PRE-A1n,PRE-N1,POST-A1n-H1,POST-N1,,9.09,7.70,1.39
PRE-B1a,PRE-N1,POST-B1a-H1,POST-N1,,18.77,18.80,-0.03
PRE-B1a,PRE-N1,POST-B1a-H3,POST-N1,,21.08,21.50,-0.42
PRE-B1b,PRE-N1,POST-B1b-H1,POST-N1,,22.03,23.80,-1.77
PRE-B1b,PRE-N1,POST-B1b-H2,POST-N1,,20.86,21.40,-0.54
PRE-B1b,PRE-N1,POST-B1b-H3,POST-N1,,22.43,23.40,-0.97
PRE-B1c,PRE-N1,POST-B1c-H1,POST-N1,,11.25,11.20,0.05
PRE-B1c,PRE-N1,POST-B1c-H2,POST-N1,,18.59,18.90,-0.31
PRE-B1c,PRE-N1,POST-B1c-H3,POST-N1,,21.02,21.60,-0.58
PRE-B1d,PRE-N1,POST-B1d-H1,POST-N1,,23.39,25.70,-2.31
PRE-B1d,PRE-N1,POST-B1d-H2,POST-N1,,21.99,22.60,-0.61
PRE-B1d,PRE-N1,POST-B1d-H3,POST-N1,,22.96,23.00,-0.04
PRE-B1e,PRE-N1,POST-B1e-H1,POST-N1,,14.09,13.80,0.29
PRE-B1e,PRE-N1,POST-B1e-H2,POST-N1,,19.10,20.30,-1.20
