subH_file,sub_file,cat_file,catH_file,ts_file,DH,DG,subH_HOMO,subH_LUMO,subH_CP,subH_Hard,subH_Soft,subH_Ephil,subH_Q,subH_FukP,subH_FukM,subH_FukD,subH_BO,subH_BOH,subH_BOX,subH_BV3,subH_BV4,subH_BV5,sub_SOMO,sub_IE,sub_EA,sub_Eneg,sub_Soft,sub_Q,sub_Fuk0,sub_BO,sub_BV3,sub_BV4,sub_BV5,cat_SOMO,cat_IE,cat_EA,cat_Eneg,cat_Soft,cat_Q,cat_Fuk0,cat_BO,cat_BV3,cat_BV4,cat_BV5,catH_HOMO,catH_LUMO,catH_CP,catH_Hard,catH_Soft,catH_Ephil,catH_Q,catH_FukP,catH_FukM,catH_FukD,catH_BO,catH_BOH,catH_BOX,catH_BV3,catH_BV4,catH_BV5,DHdd,DGdd
PRE-A1a,POST-A1a-H1,PRE-N1,POST-N1,,-3.376107745,-4.928566172,-0.402704,0.076043,-0.1633305,0.2393735,4.17757187,0.055722234,-0.59831,0.05099,0.20685,-0.15586,0.96965,0.9443,1.0457,0.362578218,0.162486034,0.083145438,-0.25685,0.313200057,-0.029509324,0.141845367,2.917924204,-0.27915,0.74738,1.002066667,0.324046484,0.144745826,0.074085097,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,19.9
PRE-A1b,POST-A1b-H1,PRE-N1,POST-N1,,-6.056194287,-5.711064079,-0.397315,0.053875,-0.17172,0.225595,4.432722356,0.065355523,-0.71234,-0.05897,0.339,-0.39797,0.950075,0.9081,1.076,0.331952101,0.163735181,0.084339819,-0.322323,0.380096647,0.055878658,0.217987652,3.084344589,-0.33351,0.60782,1.043,0.295757598,0.146856185,0.07535043,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,25.8
PRE-A1c,POST-A1c-H1,PRE-N1,POST-N1,,-11.65281426,-11.32901937,-0.30446,0.06378,-0.12034,0.18412,5.431240495,0.03932684,-0.4032,-0.10564,0.12256,-0.2282,0.9658,0.9436,1.0324,0.331123361,0.142592794,0.072951815,-0.205414,0.261407092,-0.0667562,0.097325446,3.047263436,-0.26873,0.59917,1.0167,0.284983984,0.12277714,0.062825203,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,10.8
PRE-A1d,POST-A1d-H1,PRE-N1,POST-N1,,-3.638471839,-2.810786849,-0.388597,-0.032071,-0.210334,0.178263,5.609689055,0.12408742,-0.47571,0.01185,0.00666,0.00519,0.922075,0.9284,0.9031,0.368537694,0.185513779,0.094892151,-0.360251,0.402321583,0.08541153,0.243866557,3.15546948,-0.04873,0.50887,0.972033333,0.332939139,0.1670171,0.085496752,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,28.1
PRE-A1e,POST-A1e-H1,PRE-N1,POST-N1,,-8.979555707,-9.100665035,-0.275109,0.064296,-0.1054065,0.1697025,5.892665105,0.032735317,-0.73548,-0.06474,0.13387,-0.19861,0.957225,0.933766667,1.0276,0.390625,0.218507541,0.119156208,-0.222152,0.268633422,-0.017241486,0.125695968,3.498033483,-0.63455,0.51524,1.029133333,0.353406213,0.200332847,0.109112374,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,15
PRE-A1f,POST-A1f-H1,PRE-N1,POST-N1,,-7.468020939,-7.830093902,-0.332736,0.075969,-0.1283835,0.2043525,4.893505095,0.040328166,-0.2512,-0.08096,0.15824,-0.2392,0.94865,0.944933333,0.9598,0.363546633,0.191057352,0.099740626,-0.234057,0.284911312,-0.042063669,0.121423822,3.058337971,-0.09281,0.63068,0.978366667,0.317705229,0.172064118,0.089787455,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,16.5
PRE-A1h,POST-A1h-H1,PRE-N1,POST-N1,,-7.827048599,-7.481290881,-0.354188,0.061067,-0.1465605,0.2076275,4.816317684,0.051727204,-0.2475,-0.0917,0.16605,-0.25775,0.954475,0.9485,0.9724,0.306251862,0.129748309,0.066445792,-0.239753,0.300756034,-0.053571525,0.123592254,2.822247309,-0.08774,0.663005,0.982266667,0.261006406,0.110471883,0.056543865,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,18
PRE-A1i,POST-A1i-H1,PRE-N1,POST-N1,,1.312522086,0.798591831,-0.455237,0.086724,-0.1842565,0.2709805,3.690302439,0.062643729,-0.83584,0.33751,0.40278,-0.06527,0.956,0.956,0.956,0.225081943,0.094888585,0.048492637,-0.287128,0.357825751,-0.019048102,0.169388825,2.653407745,-0.48694,0.906855,0.9718,0.180069279,0.075996214,0.038898174,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,23.4
PRE-A1j,POST-A1j-H1,PRE-N1,POST-N1,,-2.783472617,-3.047654104,-0.36114,0.057595,-0.1517725,0.2093675,4.776290494,0.055010667,-0.55872,-0.05129,0.26992,-0.32121,0.9601,0.9379,1.0267,0.334745605,0.151150611,0.077449465,-0.273933,0.330523957,-0.005696161,0.162413898,2.974242011,-0.37885,0.63211,1.0017,0.295832092,0.132339706,0.067653969,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,23.1
PRE-A1k,POST-A1k-H1,PRE-N1,POST-N1,,2.086772071,1.500050718,-0.467181,0.072276,-0.1974525,0.2697285,3.707431732,0.072271728,-0.68757,0.18322,0.32798,-0.14476,0.947725,0.9297,1.0018,0.411343489,0.215431227,0.110285075,-0.33883,0.399096269,0.033965059,0.216530664,2.738741506,-0.30446,0.77195,0.973666667,0.375065182,0.198668612,0.101674104,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,28.4
